판매중,챗봇ID,챗봇,콘텐츠 타입,스킬ID,스킬,주제,topic,intents,temporal,웹 정상가,웹 판매가,앱 정상가,앱 판매가,앱 정상가(하트 가격),앱 판매가(하트 가격),판매종료 여부,출시일,ARPPU,인당 구매 횟수,건당 구매 금액,진입 사용자수,구매횟수,구매자수,구매 전환율,매출,앱 매출,웹 매출,판매일수,평균 일 거래액,앱 판매일수,앱 평균 일 거래액,웹 판매일수,웹 평균 일 거래액,앱 노출여부,웹 노출여부
,52,판밍밍,사주,2166,그 사람과 나의 사주 궁합,궁합,연애,궁합,-,21000,19500,21000,19500,140,130,FALSE,2021. 3. 1.,"₩19,047",1.34,"₩14,170","219,470","92,045","68,476",31%,"₩1,304,294,625","₩882,551,700","₩421,742,925","1,864","₩699,729","1,864","₩473,472","1,794","₩235,085",노출,노출
,52,판밍밍,사주,19192,타고난 결혼운 + 내 운명의 상대,결혼,결혼,새로운만남|결혼시기,-,36000,30000,36000,30000,240,200,FALSE,2021. 8. 24.,"₩20,465",1.07,"₩19,052","152,487","43,206","40,221",26%,"₩823,142,600","₩576,160,650","₩246,981,950","1,657","₩487,644","1,645","₩350,250","1,382","₩178,713",노출,노출
,52,판밍밍,사주,21964,내 사주에 연애 상대 몇 명 있을까?,연애,연애,-,-,24000,18750,24000,18750,160,125,FALSE,2022. 7. 22.,"₩15,815",1.07,"₩14,748","267,523","82,674","77,099",29%,"₩1,219,304,200","₩557,673,600","₩661,630,600","1,241","₩946,665","1,212","₩460,127","1,151","₩574,831",노출,노출
,52,판밍밍,사주,28894,재회 사주: 그 사람과 다시 만날 운명일까?,이별/재회,연애,재회,-,27000,22500,27000,22500,180,150,FALSE,2023. 6. 1.,"₩24,844",1.17,"₩21,176","147,046","50,760","43,266",29%,"₩1,074,907,710","₩538,201,800","₩536,705,910","1,042","₩1,031,581","1,042","₩516,508","1,009","₩531,919",노출,노출
,52,판밍밍,사주,22360,사주로 보는 내 결혼 상대는?,결혼,결혼,결혼시기,-,18000,17250,18000,17250,120,115,FALSE,2022. 8. 11.,"₩14,825",1.08,"₩13,743","189,054","71,199","66,004",35%,"₩978,503,924","₩400,675,350","₩577,828,574","1,319","₩732,962","1,308","₩306,327","1,137","₩508,205",노출,노출
,52,판밍밍,사주,26805,그 사람과 나의 3가지 사주궁합,궁합,연애,궁합,-,27000,22500,27000,22500,180,150,FALSE,2023. 4. 13.,"₩21,357",1.17,"₩18,294","132,815","35,299","30,236",23%,"₩645,763,450","₩386,436,600","₩259,326,850","1,089","₩591,901","1,088","₩355,181",945,"₩274,420",노출,노출
,52,판밍밍,사주,2328,내 운명의 상대,연애,연애,새로운만남,-,15000,14400,15000,14400,100,96,FALSE,2021. 3. 1.,"₩9,587",1.14,"₩8,417","193,885","63,992","56,181",29%,"₩538,629,750","₩385,770,300","₩152,859,450","1,795","₩289,898","1,778","₩216,969","1,320","₩115,803",노출,노출
,52,판밍밍,사주,23878,내 운명 지금 어디 있을까?,연애,연애,새로운만남,-,18000,17100,18000,17100,120,114,FALSE,2022. 10. 18.,"₩16,537",1.08,"₩15,284","168,884","50,897","47,040",28%,"₩777,888,100","₩368,417,850","₩409,470,250","1,268","₩613,476","1,265","₩291,239","1,195","₩342,653",노출,노출
,52,판밍밍,사주,453,내 인생 황금기와 암흑기: 사주팔자 풀이,팔자,일반운세,-,-,18000,17550,18000,17550,120,117,FALSE,2021. 3. 1.,"₩12,053",1.09,"₩11,093","311,753","55,671","51,240",16%,"₩617,581,400","₩364,351,500","₩253,229,900","1,693","₩331,320","1,654","₩220,285","1,327","₩190,829",노출,노출
,52,판밍밍,사주,20974,타고난 부(富): 내 사주 재물운과 평생 모을 재산은?,팔자,재물금전,-,-,18000,17250,18000,17250,120,115,FALSE,2022. 5. 4.,"₩12,181",1.10,"₩11,035","204,707","49,715","45,037",22%,"₩548,588,400","₩342,932,550","₩205,655,850","1,388","₩382,558","1,360","₩252,156","1,157","₩177,749",노출,노출
