menu_seq,menu_name,price_amount,open_date,is_open,is_stop_selling,menu_type,chatbot_content_type,topic,intents,temporal,buyers_12m,revenue_12m,buyers_6m,revenue_6m,buyers_30d,revenue_30d,age_13_15,age_16_20,age_21_25,age_26_30,age_31_35,age_36_40,age_41_45,age_46_50,age_51_55,age_56_60,age_61_65,age_66plus,age_unknown,segment
55360,2026년 신년운세 보고서,37500,2025-09-03 15:00:00+00,true,false,clickableMenu,사주,총운,,신년운세,10128,3.3804615E8,6511,2.1176835E8,188,6064500.0,7,257,1336,3086,2917,1542,676,201,106,31,10,3,2,S3
49255,내 팔자에 새겨진 천년배필,21000,2025-04-29 15:00:00+00,true,false,clickableMenu,사주,연애,새로운만남,,8798,1.6890345E8,1694,3.158595E7,128,2429550.0,15,338,1548,3285,2426,893,229,47,21,9,3,1,3,S3
55723,2026년 솔로 탈출 시기,24000,2025-09-25 15:00:00+00,true,false,clickableMenu,사주,연애,새로운만남,신년운세,6809,1.485603E8,5371,1.1480625E8,674,1.27773E7,56,724,1907,2200,1333,449,129,23,12,5,0,0,7,S3
50312,2025 을사년 하반기 애정운,21750,2025-05-21 15:00:00+00,false,true,clickableMenu,사주,연애,,하반기운세,7434,1.4329725E8,37,717750.0,0,0.0,12,510,1973,2820,1521,448,111,22,13,5,1,0,1,S3
49816,재회 사주: 헤어져도 다시 만날 필연,27000,2025-05-14 15:00:00+00,true,false,clickableMenu,사주,연애,재회,,5872,1.3749765E8,2553,5.73339E7,337,7595700.0,24,458,1583,2019,1156,436,147,43,16,11,0,0,6,S3
47704,삼신할매가 점지한 내 진짜 인연 VS 가짜 인연,24000,,true,false,clickableMenu,사주,연애,,,6467,1.1947425E8,1821,3.321855E7,164,3090450.0,24,503,1685,2366,1288,438,114,27,15,3,1,0,8,S3
2166,그 사람과 나의 사주 궁합,21000,2021-09-07 15:00:00+00,true,false,clickableMenu,사주,연애,궁합,,5546,1.1653185E8,2225,4.514595E7,250,5066400.0,4,277,1095,1958,1399,574,182,69,22,4,0,1,7,S3
50014,2025년 하반기 운세 보고서,31500,2025-05-28 15:00:00+00,false,true,clickableMenu,사주,총운,,하반기운세,3980,1.0519665E8,19,504900.0,0,0.0,5,133,684,1273,1037,516,196,88,35,9,3,0,3,S3
57670,2026 병오년 운세: 사랑과 인연,19500,2025-12-03 15:00:00+00,true,false,clickableMenu,사주,연애,,신년운세,5466,9.57462E7,5466,9.57462E7,302,5235900.0,14,279,1105,2064,1343,471,144,34,20,3,1,1,6,S3
51565,2025년 하반기 솔로 탈출 시기,19500,2025-07-02 15:00:00+00,false,true,clickableMenu,사주,연애,새로운만남,하반기운세,4929,9.34284E7,130,2339700.0,0,0.0,37,558,1454,1651,861,287,59,10,6,4,0,0,3,S3
