age_group,menu_seq,menu_name,topic,content_type,buyers,revenue_krw,price_amount,open_date,is_open,is_stop_selling
16-25,2141,그 사람의 속마음,연애,타로,5695,1.205145E7,1500,,true,false
16-25,400,다시 만날 수 있을까,연애,타로,3243,5314350.0,1500,,true,false
16-25,55723,2026년 솔로 탈출 시기,연애,사주,2635,5.594205E7,24000,2025-09-25 15:00:00+00,true,false
16-25,50312,2025 을사년 하반기 애정운,연애,사주,2483,4.64835E7,21750,2025-05-21 15:00:00+00,false,true
16-25,2505,지금 날 좋아하는 사람은?,연애,타로,2217,7535400.0,1500,,true,false
16-25,47704,삼신할매가 점지한 내 진짜 인연 VS 가짜 인연,연애,사주,2189,3.91302E7,24000,,true,false
16-25,49816,재회 사주: 헤어져도 다시 만날 필연,연애,사주,2040,4.60308E7,27000,2025-05-14 15:00:00+00,true,false
16-25,51565,2025년 하반기 솔로 탈출 시기,연애,사주,2012,3.73701E7,19500,2025-07-02 15:00:00+00,false,true
16-25,44273,🔋질문권 충전 (3개),기타,,1923,1243650.0,3000,,false,false
16-25,13663,어떤 사람과 사귈 운명일까?,연애,타로,1888,2277300.0,1500,,true,false
16-25,49255,내 팔자에 새겨진 천년배필,연애,사주,1886,3.551775E7,21000,2025-04-29 15:00:00+00,true,false
16-25,1210,우리 얼마나 오래 갈까?,연애,타로,1681,2263800.0,1500,,true,false
16-25,49882,그 사람의 숨겨진 진짜 속마음 💟,연애,타로,1615,4293150.0,2250,2025-05-14 15:00:00+00,true,false
16-25,2142,재회확률 높이는 법,연애,타로,1594,2554950.0,1500,,true,false
16-25,55360,2026년 신년운세 보고서,총운,사주,1592,5.093055E7,37500,2025-09-03 15:00:00+00,true,false
16-25,28894,재회 사주: 그 사람과 다시 만날 운명일까?,연애,사주,1528,3.339405E7,27000,2023-06-01 06:39:39+00,true,false
16-25,57670,2026 병오년 운세: 사랑과 인연,연애,사주,1387,2.380065E7,19500,2025-12-03 15:00:00+00,true,false
16-25,17212,그 사람이 연락을 안 하는 이유,연애,타로,1380,2393100.0,1500,2020-03-30 15:00:00+00,true,false
16-25,2166,그 사람과 나의 사주 궁합,연애,사주,1373,2.76441E7,21000,2021-09-07 15:00:00+00,true,false
16-25,59089,내 운명 지도: 전국편,연애,사주,1357,2.391795E7,19500,2026-02-25 15:00:00+00,true,false
16-25,31435,지금 날 간절히 원하는 사람 누구일까?,연애,타로,1273,2.41926E7,18000,2023-07-20 16:00:00+00,true,false
16-25,23878,내 운명 지금 어디 있을까?,연애,사주,1228,2.10486E7,18000,2022-10-18 15:00:00+00,true,false
