table	downstream_files	total_mentions	files
hlb_mart.mart_use_skill_se	47	148	kpi_noti/queries.py,mart/mart_skill_open_date_se.sql,mart/queries.py,mart_adhoc/adhoc_mart_user_key_actions_for_targeting.sql,mart_adhoc/adhoc_mart_user_rfm_info_daily.sql,mart_integrated/union_mart_use_skill_and_user_daily.sql,mart_integrated/union_mart_use_skill_from_exhibition_page.sql,mart_integrated/union_mart_use_skill_from_home_banner.sql,mart_integrated/union_mart_use_skill_from_search_result.sql,mart_integrated/union_mart_user_key_actions.sql,pre_report/pre_report_cohort_retention_active.sql,pre_report/pre_report_cohort_retention_pay.sql,pre_report/pre_report_hlb_okr_metrics_revenue.sql,pre_report/pre_report_skill_with_manual_tagged_info.sql,report/report_activation_monthly.sql,report/report_activation_monthly_app.sql,report/report_activation_monthly_web.sql,report/report_braze_crm_daily.sql,report/report_braze_crm_monthly.sql,report/report_braze_crm_weekly.sql,report/report_chatbot_info_daily.sql,report/report_hlb_div_metrics_monthly.sql,report/report_hlb_div_metrics_weekly.sql,report/report_key_metrics_by_daily.sql,report/report_key_metrics_by_monthly.sql,report/report_key_metrics_by_platform_daily.sql,report/report_key_metrics_by_weekly.sql,report/report_key_metrics_kr_by_daily.sql,report/report_key_metrics_new_user_by_platform_daily.sql,report/report_kpi_total_skill_monthly.sql,report/report_kpi_total_skill_monthly_platform_app.sql,report/report_kpi_total_skill_monthly_platform_web.sql,report/report_kpi_total_skill_weekly.sql,report/report_kpi_total_skill_weekly_platform_app.sql,report/report_kpi_total_skill_weekly_platform_web.sql,report/report_pay_for_skill_with_target_info.sql,report/report_revenue_monthly.sql,report/report_revenue_monthly_app.sql,report/report_revenue_monthly_web.sql,report/report_skill_info_daily.sql,report/report_skill_info_mybot.sql,report/report_skill_info_origin.sql,report/report_skill_referral_mkt_daily.sql,report/report_total_metrics_ip_monthly.sql,report/report_total_metrics_ip_weekly.sql,tf_report/report_kpi_daily.sql,tf_report/report_kpi_quarterly.sql
hlb_intermediate.intermediate_user_daily_info	26	52	intermediate/intermediate_key_metrics_fb.sql,intermediate/intermediate_key_metrics_se.sql,intermediate/intermediate_marketing_utm_first_fb.sql,intermediate/queries.py,kpi_noti/queries.py,mart/mart_user_daily_info.sql,mart_adhoc/adhoc_mart_user_rfm_info_daily.sql,pre_report/pre_report_cohort_retention_visit.sql,report/report_activation_monthly.sql,report/report_activation_monthly_app.sql,report/report_activation_monthly_web.sql,report/report_key_metrics_by_daily.sql,report/report_key_metrics_by_monthly.sql,report/report_key_metrics_by_platform_daily.sql,report/report_key_metrics_by_weekly.sql,report/report_key_metrics_kr_by_daily.sql,report/report_key_metrics_new_user_by_platform_daily.sql,report/report_kpi_total_skill_monthly.sql,report/report_kpi_total_skill_monthly_platform_app.sql,report/report_kpi_total_skill_monthly_platform_web.sql,report/report_kpi_total_skill_weekly.sql,report/report_kpi_total_skill_weekly_platform_app.sql,report/report_kpi_total_skill_weekly_platform_web.sql,report/report_revenue_monthly.sql,report/report_revenue_monthly_app.sql,report/report_revenue_monthly_web.sql
hlb_mart.mart_skill_funnel_fb	23	66	mart/queries.py,report/report_activation_monthly.sql,report/report_activation_monthly_app.sql,report/report_activation_monthly_web.sql,report/report_chatbot_info_daily.sql,report/report_key_metrics_by_daily.sql,report/report_key_metrics_by_monthly.sql,report/report_key_metrics_by_platform_daily.sql,report/report_key_metrics_by_weekly.sql,report/report_key_metrics_kr_by_daily.sql,report/report_key_metrics_new_user_by_platform_daily.sql,report/report_kpi_total_skill_monthly.sql,report/report_kpi_total_skill_monthly_platform_app.sql,report/report_kpi_total_skill_monthly_platform_web.sql,report/report_kpi_total_skill_weekly.sql,report/report_kpi_total_skill_weekly_platform_app.sql,report/report_kpi_total_skill_weekly_platform_web.sql,report/report_skill_info_daily.sql,report/report_skill_info_mybot.sql,report/report_skill_info_origin.sql,report/report_skill_referral_mkt_daily.sql,report/report_total_metrics_ip_monthly.sql,report/report_total_metrics_ip_weekly.sql
hlb_mart.mart_user_server	17	17	mart/queries.py,report/report_activation_monthly.sql,report/report_activation_monthly_app.sql,report/report_activation_monthly_web.sql,report/report_crm_optin_new_daily.sql,report/report_crm_optin_new_monthly.sql,report/report_crm_optin_new_weekly.sql,report/report_crm_optin_total.sql,report/report_crm_optin_total_daily.sql,report/report_crm_optin_total_monthly.sql,report/report_crm_optin_total_weekly.sql,report/report_kpi_total_skill_monthly.sql,report/report_kpi_total_skill_monthly_platform_app.sql,report/report_kpi_total_skill_monthly_platform_web.sql,report/report_kpi_total_skill_weekly.sql,report/report_kpi_total_skill_weekly_platform_app.sql,report/report_kpi_total_skill_weekly_platform_web.sql
hlb_staging.staging_fixed_menu_copy	14	14	mart/mart_ai_chatbot_fb.sql,mart/mart_exhibition_fb.sql,mart/mart_fixed_menu_server.sql,mart/mart_home_action_fb.sql,mart/mart_purchase_fb.sql,mart/mart_relation_fb.sql,mart/mart_skill_funnel_fb.sql,mart/mart_use_skill_se.sql,mart/mart_v2_skill_funnel_fb.sql,pre_report/pre_report_skill_with_manual_tagged_info.sql,report/report_skill_info_mybot.sql,report/report_skill_info_origin.sql,report/report_skill_referral_mkt_daily.sql,staging/queries.py
hlb_staging.staging_chatbot_server	12	15	kpi_noti/queries.py,mart/mart_ai_chatbot_fb.sql,mart/mart_exhibition_fb.sql,mart/mart_fixed_menu_server.sql,mart/mart_home_action_fb.sql,mart/mart_purchase_fb.sql,mart/mart_relation_fb.sql,mart/mart_skill_funnel_fb.sql,mart/mart_use_skill_se.sql,mart/mart_v2_skill_funnel_fb.sql,pre_report/pre_report_skill_with_manual_tagged_info.sql,staging/queries.py
hlb_mart.mart_user_daily_info	11	12	kpi_noti/queries.py,mart/queries.py,mart_adhoc/adhoc_mart_user_acquisition_with_utm.sql,mart_adhoc/adhoc_mart_user_key_actions_for_targeting.sql,mart_integrated/union_mart_use_skill_and_user_daily.sql,mart_integrated/union_mart_use_skill_from_exhibition_page.sql,mart_integrated/union_mart_use_skill_from_home_banner.sql,mart_integrated/union_mart_use_skill_from_search_result.sql,mart_integrated/union_mart_user_key_actions.sql,tf_report/report_kpi_daily.sql,tf_report/report_kpi_quarterly.sql
hlb_mart.mart_leave_fb	10	11	mart/queries.py,report/report_activation_monthly.sql,report/report_activation_monthly_app.sql,report/report_activation_monthly_web.sql,report/report_key_metrics_by_daily.sql,report/report_key_metrics_by_monthly.sql,report/report_key_metrics_by_platform_daily.sql,report/report_key_metrics_by_weekly.sql,report/report_key_metrics_kr_by_daily.sql,report/report_key_metrics_new_user_by_platform_daily.sql
hlb_mart.mart_fixed_menu_server	9	13	kpi_noti/queries.py,mart/queries.py,mart_integrated/union_mart_user_key_actions.sql,report/report_kpi_total_skill_monthly.sql,report/report_kpi_total_skill_monthly_platform_app.sql,report/report_kpi_total_skill_monthly_platform_web.sql,report/report_kpi_total_skill_weekly.sql,report/report_kpi_total_skill_weekly_platform_app.sql,report/report_kpi_total_skill_weekly_platform_web.sql
hlb_mart.mart_purchase_fb	8	39	mart/queries.py,mart_integrated/union_mart_user_key_actions.sql,report/report_key_metrics_by_daily.sql,report/report_key_metrics_by_monthly.sql,report/report_key_metrics_by_platform_daily.sql,report/report_key_metrics_by_weekly.sql,report/report_key_metrics_kr_by_daily.sql,report/report_key_metrics_new_user_by_platform_daily.sql
