event_name,n_raw,n_staging
show_item_in_home_section,199465,0
screen_view,172249,171533
send_msg_by_user,118746,0
user_engagement,113182,112552
initial_tab,80134,0
start_block,64160,0
show_home_section,63066,0
start_chatroom,57143,0
page_view,40372,39690
scroll,32648,0
enter_reward_ad_on_block,31491,0
show_home_section_complete,27189,0
view_tab_at_home,25435,25307
enter_skill,21357,21330
view_home_main,20795,20718
view_chatroom,19157,19036
session_start,17348,17293
consume_skill,12535,12519
enter_tab_at_home,12245,0
view_chatlist_main,11382,0
show_chatbot_at_friends,10968,0
open_skill_description,10678,10625
ad_reward,8278,0
start_persistant_menu,8182,0
finish_reward_ad_on_block,7410,0
click_start_button,7259,7245
view_new_skill_description,7212,7193
enter_tab_at_home_recommend,6853,0
view_skill_feedback,5901,0
view_profile_main,5143,0
view_charge_heart,4993,0
exception,4765,0
admob_reward_request,4573,0
first_visit,4551,4551
view_skills_in_category,4550,4538
admob_reward_response,4550,0
select_charge_station,4484,0
touch_home_section_item,4172,4165
view_reply_with_heart,3948,0
view_new_preview,3888,3888
sign_up_or_in_main,3870,0
view_new_birth_info,3733,3711
view_coin_screen,3595,3566
select_reply_with_heart_first,3208,0
view_result_image_detail,3178,0
begin_checkout,2892,0
add_to_cart,2892,0
select_reply_with_heart_second,2887,0
skill_feedback_complete,2800,0
show_set_heart_alarm,2755,0
view_popup_charge_heart_success,2666,0
touch_chat_tab,2625,0
view_persistant_menus,2620,0
get_heart_gauge,2490,0
enter_tab_at_heart,2379,0
view_new_login_bottomsheet,2349,2277
select_sign_up_button,2341,0
try_use_heart_contents,2282,0
view_chatbot_main,2270,2255
try_login,2101,0
touch_new_preview_cta,2047,2040
touch_skill_history_item,1964,0
campaign_details,1923,0
touch_skill_in_tag,1921,0
touch_category_item,1891,1886
view_popup_charge_heart,1813,0
touch_home_tab,1777,0
select_chatbot_filter,1718,0
touch_result_image_message,1713,0
touch_feedback,1708,0
scroll_bottom_skill_description,1696,0
view_item,1666,1642
click_stop_chat_button,1620,0
view_hellobot_profile,1612,0
touch_profile_tab,1603,0
enter_sub_category_tab,1578,1572
login_success,1448,1445
view_chatroom_to_store,1434,0
view_result_image_storages,1376,0
first_open,1371,1371
abr_app_install,1331,1331
view_os_push_popup,1327,0
touch_skill_item_in_category,1324,1319
touch_os_push_popup,1309,0
touch_skill_item,1297,0
touch_result_image_item,1200,0
touch_chatbot,1164,1160
quick_reply_1,1107,0
touch_heart_tab,1080,0
quick_reply_2,1079,0
view_heart_info,1043,0
quick_reply_3,1018,0
view_search_main,1013,1009
view_result_image_screen,985,0
quick_reply_4,977,0
app_update,949,0
quick_reply_5,932,0
touch_chatbot_hellobot,893,0
touch_search_result,875,873
touch_recommend_free_skill,873,0
touch_home_section_more_item,861,861
quick_reply_6,861,0
view_suggest_push,838,0
touch_todays_free_skill,828,0
touch_suggest_push,805,0
view_search_result,789,783
